ID file_name x_pos z_pos brush_orien
205 'Exp_40_6_C001H001S0001.jso' 2700000.0 2300 0.001 0.0005
206 'Exp_40_6_C001H001S0001.jso' 2700000.0 1700.0 0.0009 0.0006
207 'Exp_40_6_C001H001S0001.jso' 2700000.0 1700.0 0.0011 0.0004
221 'Exp_40_8_C001H001S0001.jso' 2700000.0 1700.0 0.001 0.0005
222 'Exp_40_8_C001H001S0001.jso' 1600000.0 1700.0 0.001 0.0005
223 'Exp_40_8_C001H001S0001.jso' 3800000.0 1700.0 0.001 0.0005
224 'Exp_40_8_C001H001S0001.jso' 2700000.0 1100 0.001 0.0005
225 'Exp_40_8_C001H001S0001.jso' 2700000.0 2300 0.001 0.0005
226 'Exp_40_8_C001H001S0001.jso' 2700000.0 1700.0 0.0009 0.0006
227 'Exp_40_8_C001H001S0001.jso' 2700000.0 1700.0 0.0011 0.0004
241 'Exp_40_14_C001H001S0001.jso' 2700000.0 1700.0 0.001 0.0005
242 'Exp_40_14_C001H001S0001.jso' 1600000.0 1700.0 0.001 0.0005
243 'Exp_40_14_C001H001S0001.jso' 3800000.0 1700.0 0.001 0.0005
244 'Exp_40_14_C001H001S0001.jso' 2700000.0 1100 0.001 0.0005
245 'Exp_40_14_C001H001S0001.jso' 2700000.0 2300 0.001 0.0005
246 'Exp_40_14_C001H001S0001.jso' 2700000.0 1700.0 0.0009 0.0006
247 'Exp_40_14_C001H001S0001.jso' 2700000.0 1700.0 0.0011 0.0004
261 'Exp_40_4_C001H001S0001.jso' 2700000.0 1700.0 0.001 0.0005
262 'Exp_40_4_C001H001S0001.jso' 1600000.0 1700.0 0.001 0.0005
263 'Exp_40_4_C001H001S0001.jso' 3800000.0 1700.0 0.001 0.0005
264 'Exp_40_4_C001H001S0001.jso' 2700000.0 1100 0.001 0.0005
265 'Exp_40_4_C001H001S0001.jso' 2700000.0 2300 0.001 0.0005
266 'Exp_40_4_C001H001S0001.jso' 2700000.0 1700.0 0.0009 0.0006
267 'Exp_40_4_C001H001S0001.jso' 2700000.0 1700.0 0.0011 0.0004
281 'Exp_40_13_C001H001S0001.jso' 2700000.0 1700.0 0.001 0.0005
282 'Exp_40_13_C001H001S0001.jso' 1600000.0 1700.0 0.001 0.0005
283 'Exp_40_13_C001H001S0001.jso' 3800000.0 1700.0 0.001 0.0005
284 'Exp_40_13_C001H001S0001.jso' 2700000.0 1100 0.001 0.0005
285 'Exp_40_13_C001H001S0001.jso' 2700000.0 2300 0.001 0.0005
286 'Exp_40_13_C001H001S0001.jso' 2700000.0 1700.0 0.0009 0.0006
287 'Exp_40_13_C001H001S0001.jso' 2700000.0 1700.0 0.0011 0.0004
301 'Exp_40_18_C001H001S0001.jso' 2700000.0 1700.0 0.001 0.0005
302 'Exp_40_18_C001H001S0001.jso' 1600000.0 1700.0 0.001 0.0005
303 'Exp_40_18_C001H001S0001.jso' 3800000.0 1700.0 0.001 0.0005
304 'Exp_40_18_C001H001S0001.jso' 2700000.0 1100 0.001 0.0005
305 'Exp_40_18_C001H001S0001.jso' 2700000.0 2300 0.001 0.0005
306 'Exp_40_18_C001H001S0001.jso' 2700000.0 1700.0 0.0009 0.0006
307 'Exp_40_18_C001H001S0001.jso' 2700000.0 1700.0 0.0011 0.0004
321 'Exp_40_15_C001H001S0001.jso' 2700000.0 1700.0 0.001 0.0005
322 'Exp_40_15_C001H001S0001.jso' 1600000.0 1700.0 0.001 0.0005
323 'Exp_40_15_C001H001S0001.jso' 3800000.0 1700.0 0.001 0.0005
324 'Exp_40_15_C001H001S0001.jso' 2700000.0 1100 0.001 0.0005
325 'Exp_40_15_C001H001S0001.jso' 2700000.0 2300 0.001 0.0005
326 'Exp_40_15_C001H001S0001.jso' 2700000.0 1700.0 0.0009 0.0006
327 'Exp_40_15_C001H001S0001.jso' 2700000.0 1700.0 0.0011 0.0004
341 'Exp_40_3_C001H001S0001.jso' 2700000.0 1700.0 0.001 0.0005
342 'Exp_40_3_C001H001S0001.jso' 1600000.0 1700.0 0.001 0.0005
343 'Exp_40_3_C001H001S0001.jso' 3800000.0 1700.0 0.001 0.0005
344 'Exp_40_3_C001H001S0001.jso' 2700000.0 1100 0.001 0.0005
345 'Exp_40_3_C001H001S0001.jso' 2700000.0 2300 0.001 0.0005
346 'Exp_40_3_C001H001S0001.jso' 2700000.0 1700.0 0.0009 0.0006
347 'Exp_40_3_C001H001S0001.jso' 2700000.0 1700.0 0.0011 0.0004
361 'Exp_40_17_C001H001S0001.jso' 2700000.0 1700.0 0.001 0.0005
362 'Exp_40_17_C001H001S0001.jso' 1600000.0 1700.0 0.001 0.0005
363 'Exp_40_17_C001H001S0001.jso' 3800000.0 1700.0 0.001 0.0005
364 'Exp_40_17_C001H001S0001.jso' 2700000.0 1100 0.001 0.0005
365 'Exp_40_17_C001H001S0001.jso' 2700000.0 2300 0.001 0.0005
366 'Exp_40_17_C001H001S0001.jso' 2700000.0 1700.0 0.0009 0.0006
367 'Exp_40_17_C001H001S0001.jso' 2700000.0 1700.0 0.0011 0.0004
381 'Exp_40_10_C001H001S0001.jso' 2700000.0 1700.0 0.001 0.0005
382 'Exp_40_10_C001H001S0001.jso' 1600000.0 1700.0 0.001 0.0005
383 'Exp_40_10_C001H001S0001.jso' 3800000.0 1700.0 0.001 0.0005
384 'Exp_40_10_C001H001S0001.jso' 2700000.0 1100 0.001 0.0005
385 'Exp_40_10_C001H001S0001.jso' 2700000.0 2300 0.001 0.0005
386 'Exp_40_10_C001H001S0001.jso' 2700000.0 1700.0 0.0009 0.0006
387 'Exp_40_10_C001H001S0001.jso' 2700000.0 1700.0 0.0011 0.0004
